iter	MultiClass
422	0.5877780914
423	0.5875462003
424	0.5873089139
425	0.5870841358
426	0.5869475698
427	0.5867571246
428	0.5865756924
429	0.5864031749
430	0.5862765728
431	0.5861254507
432	0.5859706645
433	0.5858901159
434	0.5857818673
435	0.5856123504
436	0.5854147816
437	0.5852550719
438	0.585138235
439	0.5850094217
440	0.5848551259
441	0.5846309956
442	0.5844773652
443	0.5842877598
444	0.5840954048
445	0.5839597446
446	0.583620652
447	0.5834486426
448	0.5831302165
449	0.5829694203
450	0.5828403071
451	0.5827237533
452	0.582589958
453	0.5823286878
454	0.5821525355
455	0.5820158233
456	0.5818985814
457	0.5816952793
458	0.5816082074
459	0.5814905717
460	0.5813890604
461	0.5813018009
462	0.5811976939
463	0.581113003
464	0.5810356341
465	0.5809718889
466	0.5807441434
467	0.5806244568
468	0.5805075175
469	0.5802920074
470	0.5800721362
471	0.5800061453
472	0.579843574
473	0.5796252593
474	0.5795030344
475	0.5793573735
476	0.5792330895
477	0.5791000195
478	0.5789904763
479	0.5789123433
480	0.5786796859
481	0.5784944611
482	0.5784127005
483	0.5782286842
484	0.5779669297
485	0.5777401188
486	0.5776150258
487	0.577391894
488	0.577296287
489	0.5770875863
490	0.5769556492
491	0.5767644715
492	0.5766096419
493	0.5764379608
494	0.5762429819
495	0.5761534956
496	0.5759931093
497	0.5759143573
498	0.5757416729
499	0.5756059555
500	0.5754218116
501	0.5752817573
502	0.5752480709
503	0.5751650188
504	0.5749328802
505	0.5748236776
506	0.574643255
507	0.574422113
508	0.5743832484
509	0.574049413
510	0.5738924292
511	0.5738270387
512	0.573687156
513	0.5734886065
514	0.5733503695
515	0.5733221164
516	0.5732514947
517	0.5730828044
518	0.5729769588
519	0.5728780393
520	0.5726620064
521	0.5726222363
522	0.5724857704
523	0.5723087797
524	0.5722195774
525	0.5719987016
526	0.5719255195
527	0.5717483918
528	0.5715817205
529	0.5714922284
530	0.5714295666
531	0.5713808671
532	0.5711986967
533	0.571124368
534	0.5710108398
535	0.5708952726
536	0.5707921447
537	0.5706164765
538	0.5705103901
539	0.57033917
540	0.5701800781
541	0.5700189707
542	0.5698396475
543	0.5697433712
544	0.5696429307
545	0.5695342476
546	0.5694141448
547	0.5692497732
548	0.5691720569
549	0.5690811009
550	0.5689999463
551	0.5688742872
552	0.5686705329
553	0.5686128611
554	0.5684994649
555	0.5683724705
556	0.5682303118
557	0.5681060733
558	0.5680055809
559	0.5678365331
560	0.5676714412
561	0.5675249393
562	0.5673104792
563	0.567195241
564	0.5670456642
565	0.5669963778
566	0.5669290831
567	0.5668215324
568	0.5666231252
569	0.5664206358
570	0.5663129857
571	0.5662523211
572	0.5661282515
573	0.5660644208
574	0.5658441381
575	0.5656258171
576	0.565555077
577	0.5654998149
578	0.5653560508
579	0.5652739248
580	0.5651955476
581	0.5651209306
582	0.5650971273
583	0.56495949
584	0.5648581981
585	0.5646492378
586	0.5645334535
587	0.5643328205
588	0.5641900879
589	0.5641330158
590	0.5640752904
591	0.5640231353
592	0.5639087625
593	0.5638194948
594	0.5637537367
595	0.5635879023
596	0.5634271654
597	0.5632783399
598	0.5631858044
599	0.5631364819
600	0.5630484838
601	0.5629702949
602	0.5627780951
603	0.56266776
604	0.5625489075
605	0.5624632062
606	0.562369154
607	0.5623103014
608	0.5621619746
609	0.5621363249
610	0.5620847825
611	0.5619888795
612	0.5619501036
613	0.5619207799
614	0.5618059356
615	0.5617218867
616	0.5616172519
617	0.5615084966
618	0.5614151307
619	0.5613572162
620	0.561254079
621	0.5611687879
622	0.5609516124
623	0.5607899064
624	0.560681743
625	0.5605866237
626	0.560465862
627	0.5604124447
628	0.5602039601
629	0.5601320197
630	0.5600123494
631	0.5598233389
632	0.55963756
633	0.559510888
634	0.5593104595
635	0.5592020233
636	0.5590916019
637	0.5590395715
638	0.5588773101
639	0.5588132997
640	0.5586922739
641	0.5586418659
642	0.5585167551
643	0.558386735
644	0.5583346875
645	0.558247417
646	0.5581993146
647	0.5581263006
648	0.5580746654
649	0.5579488301
650	0.5578556064
651	0.5577313977
652	0.5576221644
653	0.5575246715
654	0.5575034383
655	0.5574342102
656	0.5573678043
657	0.5572179171
658	0.5571899378
659	0.5570907121
660	0.5569750965
661	0.5568805729
662	0.5567395991
663	0.556647709
664	0.5565297188
665	0.556492335
666	0.5564341044
667	0.5563590915
668	0.556268561
669	0.5561667164
670	0.5560434111
671	0.5559695088
672	0.5559000376
673	0.555804203
674	0.5556997626
675	0.555636883
676	0.5555392219
677	0.5554025959
678	0.5553334437
679	0.5552506216
680	0.5551773813
681	0.5551083248
682	0.5550318276
683	0.5549723436
684	0.5549386729
685	0.5549095225
686	0.5547905245
687	0.5547497801
688	0.5546903721
689	0.5546251794
690	0.5545849675
691	0.5544845445
692	0.554383736
693	0.5543491
694	0.5542933813
695	0.5541845566
696	0.5541104175
697	0.5540222252
698	0.5538979628
699	0.5538316224
700	0.5537141823
701	0.5536956504
702	0.553648272
703	0.5535860782
704	0.5535707686
705	0.553448724
706	0.5534214049
707	0.5533914651
708	0.5533237384
709	0.5532553519
710	0.5531533708
711	0.5530316414
712	0.5529957685
713	0.552959776
714	0.5529117228
715	0.5528660284
716	0.552771534
717	0.5527380095
718	0.5527013623
719	0.552593463
720	0.5525198197
721	0.5524856774
722	0.5524353067
723	0.5523646415
724	0.5522054197
725	0.552178596
726	0.5521320584
727	0.552071206
728	0.5519881445
729	0.551837029
730	0.5517537314
731	0.5517200891
732	0.551656453
733	0.5515593051
734	0.5514749267
735	0.5513940124
736	0.5512881268
737	0.5511773399
738	0.5511571269
739	0.5509957882
740	0.5509537653
741	0.550915549
742	0.5508558491
743	0.5507896533
744	0.5507406418
745	0.5506993207
746	0.5506548286
747	0.5505568678
748	0.550477058
749	0.5504260253
750	0.5503389656
751	0.5503049075
752	0.5502178958
753	0.5501912113
754	0.5501545064
755	0.5500888222
756	0.5500354706
757	0.5499037921
758	0.5498484488
759	0.5497777483
760	0.5496742037
761	0.5496362396
762	0.5495357056
763	0.5494697998
764	0.5493618038
765	0.5493117432
766	0.5491953739
767	0.5491650068
768	0.5491398347
769	0.5490113599
770	0.5489854411
771	0.5489009228
772	0.5488534161
773	0.5487939174
774	0.5487015289
775	0.5486430222
776	0.5485320574
777	0.5484694074
778	0.5484502785
779	0.5484225253
780	0.5483330301
781	0.5482388052
782	0.5481441127
783	0.5480271863
784	0.5479840569
785	0.5479569667
786	0.5479267976
787	0.5478673788
788	0.5477803187
789	0.5477285491
790	0.5476407523
791	0.5475102812
792	0.5474187315
793	0.5472597354
794	0.5472128646
795	0.5471403444
796	0.5471168133
797	0.547019541
798	0.54698113
799	0.5467896814
800	0.5467767408
801	0.5467664655
802	0.5467198092
803	0.5466949177
804	0.5466081476
805	0.5465480329
806	0.5464799426
807	0.5463408751
808	0.546306556
809	0.5462382033
810	0.5461347329
811	0.5460174416
812	0.5459695041
813	0.5458986849
814	0.5457130477
815	0.5456206445
816	0.5455522537
817	0.5454847179
818	0.5453617048
819	0.545313765
820	0.5452157632
821	0.5452073305
822	0.5450940019
823	0.5450427983
824	0.5450220533
825	0.5449764372
826	0.544966196
827	0.5449339105
828	0.5449128246
829	0.5448717738
830	0.544820758
831	0.5447322576
832	0.5447133519
833	0.5446349673
834	0.5446111758
835	0.5445421492
836	0.5445179764
837	0.5444640357
838	0.5443945082
839	0.5443235935
840	0.5442907762
841	0.5441703354
842	0.5441044072
843	0.5440378546
844	0.5439012598
845	0.5438140829
846	0.5437449004
847	0.5436536914
848	0.5436356772
849	0.5435854125
850	0.5434454151
851	0.5432689997
852	0.5431974774
853	0.5431749939
854	0.5431486149
855	0.5430981338
856	0.5430447102
857	0.5429086497
858	0.5428096162
859	0.5427574152
860	0.5426924608
861	0.542645101
862	0.5425825112
863	0.5425630755
864	0.5425167872
865	0.5423982284
866	0.5423062323
867	0.5422444613
868	0.5420818501
869	0.5420484721
870	0.5420006099
871	0.5419304739
872	0.541837891
873	0.5417836883
874	0.5416494433
875	0.54162101
876	0.5415266088
877	0.5415020264
878	0.541472325
879	0.5413746388
880	0.541300326
881	0.5412723164
882	0.541210349
883	0.5411916769
884	0.541155038
885	0.5410413762
886	0.5409757375
887	0.540952164
888	0.5409056153
889	0.5407654162
890	0.5407541185
891	0.5407031898
892	0.5406316459
893	0.5405949344
894	0.5405551128
895	0.540491169
896	0.5404378729
897	0.5404008502
898	0.5403239943
899	0.5402919798
900	0.5401900482
901	0.5400870081
902	0.5400550162
903	0.5399440757
904	0.5398291992
905	0.5397783425
906	0.5397328405
907	0.5397086319
908	0.539656394
909	0.5396333723
910	0.5395654218
911	0.5394652235
912	0.5394460741
913	0.5393478009
914	0.5393279847
915	0.5393100919
916	0.5392426451
917	0.5391943632
918	0.5391534932
919	0.5390886502
920	0.5390774847
921	0.5389967661
922	0.5389598399
923	0.5389421272
924	0.5388907434
925	0.5387953733
926	0.538748992
927	0.5387249515
928	0.5386464735
929	0.5386202531
930	0.5385659768
931	0.5385161993
932	0.5384761672
933	0.5384104536
934	0.5383442339
935	0.5383139609
936	0.5382776664
937	0.5382647267
938	0.5381940232
939	0.5380672163
940	0.5379793083
941	0.5379418362
942	0.5379106976
943	0.537861996
944	0.5378424075
945	0.5377449773
946	0.5377337838
947	0.5375870939
948	0.5375559841
949	0.5375204623
950	0.5374615617
951	0.5374191438
952	0.5373992139
953	0.5373053118
954	0.5372652725
955	0.5372414423
956	0.53709352
957	0.5370123039
958	0.5369086872
959	0.5367961646
960	0.5367603351
961	0.5366842577
962	0.5365707672
963	0.5364948899
964	0.536438052
965	0.5364112541
966	0.5363927131
967	0.5363670382
968	0.5363187961
969	0.5362604112
970	0.5361905835
971	0.5361368624
972	0.5360612513
973	0.5360453431
974	0.5359719614
975	0.5359196575
976	0.5358191603
977	0.5357891948
978	0.5357631939
979	0.5356924006
980	0.535644781
981	0.5355814926
982	0.5354363119
983	0.53540287
984	0.5353755527
985	0.5353168033
986	0.5353041401
987	0.5352737099
988	0.5351470826
989	0.5351120729
990	0.5350887361
991	0.5350426661
992	0.5350163921
993	0.5350056751
994	0.5349244153
995	0.5348767719
996	0.5347994158
997	0.534727324
998	0.5346860747
999	0.5345700617
