iter	Logloss
0	0.6637938617
1	0.6373836984
2	0.6148297767
3	0.5944728126
4	0.5749481195
5	0.5602286439
6	0.5464051112
7	0.5340965643
8	0.5227678529
9	0.5117760159
10	0.5024660748
11	0.4917949625
12	0.482609849
13	0.4754040775
14	0.4684213415
15	0.4616137167
16	0.4557700214
17	0.4492276339
18	0.4441844034
19	0.4383731914
20	0.4327231412
21	0.4282287448
22	0.4238870079
23	0.4197071335
24	0.4158223237
25	0.4116198276
26	0.4071505151
27	0.4035840014
28	0.4001487232
29	0.3961686857
30	0.3925910468
31	0.3897322882
32	0.386900731
33	0.3840328584
34	0.3813299905
35	0.3785548393
36	0.3762524001
37	0.3739124825
38	0.3711386842
39	0.3684783729
40	0.366164652
41	0.3634163584
42	0.3610912911
43	0.3585854874
44	0.3565501392
45	0.3545192544
46	0.3516243681
47	0.349681993
48	0.3479332753
49	0.3460073403
50	0.3439524762
51	0.3421899942
52	0.3404261833
53	0.3388914509
54	0.337369796
55	0.3357675929
56	0.3338736811
57	0.3321807634
58	0.3303720613
59	0.3288477496
60	0.3277820792
61	0.326128381
62	0.324920892
63	0.323603652
64	0.3222153188
65	0.3209072302
66	0.3193484319
67	0.3178629246
68	0.3163804945
69	0.315361092
70	0.3142392957
71	0.3130123595
72	0.3115906766
73	0.3103339031
74	0.3091599242
75	0.308147156
76	0.3072896945
77	0.3062925482
78	0.3054399101
79	0.3043032213
80	0.3031469843
81	0.301959722
82	0.3010291893
83	0.3002704322
84	0.2994408551
85	0.2985900508
86	0.297765204
87	0.2970768027
88	0.2962399641
89	0.2953691962
90	0.2944695878
91	0.2936030028
92	0.292742675
93	0.2919392167
94	0.2910700238
95	0.2902060311
96	0.2894950984
97	0.2887069798
98	0.2880881313
99	0.2872576472
100	0.2862513817
101	0.2855163856
102	0.2844883037
103	0.2838255961
104	0.2831779252
105	0.2826577339
106	0.2820427503
107	0.2816407088
108	0.2808739895
109	0.2801561538
110	0.2794933864
111	0.2787329207
112	0.2781886386
113	0.277496265
114	0.2769188389
115	0.276468592
116	0.2759158937
117	0.2753648929
118	0.2745361462
119	0.2739564349
120	0.2734201384
121	0.2726972984
122	0.2721583228
123	0.2715762824
124	0.2710273497
125	0.2706103649
126	0.2701286121
127	0.2695733647
128	0.2689593581
129	0.2685568579
130	0.2680871068
131	0.2676219334
132	0.2670827885
133	0.2667513782
134	0.2662867208
135	0.265824426
136	0.2652909398
137	0.2648927063
138	0.2645208958
139	0.2640100793
140	0.2633476128
141	0.2630086617
142	0.2626385071
143	0.262102029
144	0.2615916179
145	0.2610332175
146	0.2604772031
147	0.2598949812
148	0.2594984001
149	0.2591367487
150	0.2587971971
151	0.2583685092
152	0.2579293979
153	0.2575219602
154	0.2571896658
155	0.2567877983
156	0.2564081715
157	0.2559058234
158	0.2555323034
159	0.2551529975
160	0.2547247655
161	0.2543171185
162	0.2539556459
163	0.2535015296
164	0.2532264546
165	0.2528577902
166	0.2524574193
167	0.2521534717
168	0.2517914574
169	0.2515178885
170	0.2510006015
171	0.2506273359
172	0.2503360945
173	0.2500152307
174	0.2496825226
175	0.2493660785
176	0.2489829548
177	0.2486478514
178	0.2482721926
179	0.2479842365
180	0.2475333529
181	0.2472988121
182	0.2469601391
183	0.2466547107
184	0.2463778305
185	0.2459857693
186	0.2457472353
187	0.2454685672
188	0.2451508419
189	0.2447946271
190	0.2445014514
191	0.2440958427
192	0.2437696979
193	0.2435396474
194	0.2432368241
195	0.242921462
196	0.242497636
197	0.2422183399
198	0.2418365206
199	0.2414571342
200	0.2410307845
201	0.2408222412
202	0.2405004444
203	0.24029543
204	0.2399349556
205	0.2396778698
206	0.2393752945
207	0.2390649825
208	0.238869302
209	0.2384508898
210	0.2381369961
211	0.2379121125
212	0.2376118396
213	0.2374186144
214	0.2370879675
215	0.2368050331
216	0.236495175
217	0.2362134239
218	0.2359323679
219	0.2357089541
220	0.2354299512
221	0.2350501248
222	0.2348643761
223	0.2346353114
224	0.234361379
225	0.2340942216
226	0.2338621882
227	0.233590355
228	0.2334056551
229	0.2331761193
230	0.2327375942
231	0.2324644119
232	0.2321927209
233	0.2319915679
234	0.2317671583
235	0.2315574298
236	0.231324004
237	0.2310312352
238	0.2308202814
239	0.2305990628
240	0.2302901731
241	0.2300775415
242	0.2298019655
243	0.2295725904
244	0.2293149943
245	0.2291581172
246	0.2289292681
247	0.2287102426
248	0.2284930373
249	0.2282617052
250	0.2280241431
251	0.2277514247
252	0.2274913027
253	0.2272477962
254	0.2269497983
255	0.2267234767
256	0.226492414
257	0.226306023
258	0.2261193792
259	0.225913807
260	0.2256921996
261	0.225394556
262	0.2252324536
263	0.2249842084
264	0.2248178413
265	0.2244809207
266	0.2242466942
267	0.2241088694
268	0.223906174
269	0.2237257982
270	0.2235071346
271	0.2233283426
272	0.2229687592
273	0.2227817679
274	0.2225753921
275	0.2223858333
276	0.2222008835
277	0.2220002355
278	0.2217960796
279	0.2214728237
280	0.2213082293
281	0.2211003714
282	0.2207995675
283	0.2206021103
284	0.2203750601
285	0.2202308213
286	0.2200715265
287	0.2198378146
288	0.2195783456
289	0.2194109176
290	0.2192156035
291	0.2190386161
292	0.2187805376
293	0.2186233387
294	0.2184500856
295	0.2182739818
296	0.2181054171
297	0.2179284298
298	0.2177714279
299	0.2176288533
300	0.217460085
301	0.2173047719
302	0.2171246929
303	0.2169756513
304	0.2167959465
305	0.2166660865
306	0.2164788278
307	0.216282631
308	0.2160640759
309	0.2158729852
310	0.2156839402
311	0.2155176022
312	0.2151771015
313	0.2150099192
314	0.2148330737
315	0.2146780682
316	0.2144880885
317	0.2143338637
318	0.2141520278
319	0.2139588552
320	0.213752796
321	0.2136050497
322	0.2134018284
323	0.2132659941
324	0.2130990039
325	0.2128954846
326	0.2126726696
327	0.2125323471
328	0.2124228522
329	0.2122628829
330	0.2120968367
331	0.2119351679
332	0.2117579299
333	0.2116218433
334	0.2114818631
335	0.2113736609
336	0.2112215194
337	0.2110597939
338	0.2109202242
339	0.2107207355
340	0.2105587829
341	0.2103822672
342	0.2101933868
343	0.2100221933
344	0.2098735038
345	0.2096730427
346	0.2095179768
347	0.2094051377
348	0.2092437117
349	0.2091308699
350	0.209011414
351	0.2088729533
352	0.208746638
353	0.20860507
354	0.2084769878
355	0.2083319958
356	0.208232964
357	0.2080961949
358	0.207931534
359	0.2077535955
360	0.2076294727
361	0.2075114862
362	0.2074179952
363	0.2072851153
364	0.2071444823
365	0.2070005581
366	0.2068430557
367	0.2067044107
368	0.2065958734
369	0.2063653669
370	0.2062767862
371	0.2061522138
372	0.205991902
373	0.2058665409
374	0.2057198806
375	0.2055714345
376	0.2054250885
377	0.2053372089
378	0.2052131438
379	0.2050836715
380	0.2050424171
381	0.2049010585
382	0.204756057
383	0.2046260336
384	0.2044686941
385	0.2043558938
386	0.2042101901
387	0.2040629062
388	0.2039358265
389	0.2037846252
390	0.2036676379
391	0.2035139604
392	0.2033752777
393	0.203265883
394	0.2031259756
395	0.2030445482
396	0.2029219977
397	0.2028205159
398	0.2027099414
399	0.2026777598
400	0.2025737988
401	0.2023922201
402	0.2022632336
403	0.2021049966
404	0.2019941337
405	0.2018623076
406	0.2016703046
407	0.2015458783
408	0.201459034
409	0.2013556081
410	0.2012269997
411	0.2011121614
412	0.2010314232
413	0.2009281924
414	0.2008166905
415	0.2007084408
416	0.2005909757
417	0.2004862801
418	0.2003661184
419	0.2002743316
420	0.2001821883
421	0.2001016681
422	0.1999842501
423	0.1998482926
424	0.1997124397
425	0.1995886009
426	0.1995547061
427	0.1994303915
428	0.1993219778
429	0.1991349499
430	0.1990136047
431	0.1988718957
432	0.1987670701
433	0.1986734267
434	0.1985818333
435	0.1984818045
436	0.1983513522
437	0.1982201729
438	0.1981001368
439	0.1979852398
440	0.1978860812
441	0.1978214849
442	0.1977138393
443	0.197630969
444	0.1975668239
445	0.197439234
446	0.1973174131
447	0.1972908476
448	0.1971989122
449	0.1970694856
450	0.1969143324
451	0.1967985153
452	0.1966659871
453	0.1965756739
454	0.1964695469
455	0.1963917254
456	0.1962711867
457	0.1961883894
458	0.1960519548
459	0.1959755942
460	0.1958305072
461	0.1957397356
462	0.1956453302
463	0.19556175
464	0.195453779
465	0.1953601721
466	0.195206023
467	0.1951255604
468	0.1950294142
469	0.194946041
470	0.1949111874
471	0.1948572013
472	0.1947627372
473	0.1946639705
474	0.1945407121
475	0.1943968817
476	0.1943138138
477	0.1942264745
478	0.1941374196
479	0.1939778488
480	0.1939540064
481	0.1938602815
482	0.1937767741
483	0.1937041056
484	0.1936163561
485	0.1934772584
486	0.1934013084
487	0.1932911995
488	0.1931843064
489	0.1931057869
490	0.1930335389
491	0.1928784831
492	0.1927789379
493	0.1927565281
494	0.1926858698
495	0.1926646107
496	0.1925757561
497	0.1924768994
498	0.1923550173
499	0.1922619976
500	0.1921493304
501	0.1921309441
502	0.1920151246
503	0.1919018455
504	0.1918298042
505	0.1917468948
506	0.1916132746
507	0.1915537613
508	0.1914243284
509	0.1913369404
510	0.1913037446
511	0.1912182397
512	0.1911148991
513	0.1910869154
514	0.1910650734
515	0.1909813965
516	0.1909199992
517	0.1908492436
518	0.1907470868
519	0.1906765967
520	0.1905845998
521	0.1904835454
522	0.1903949838
523	0.1902972524
524	0.1902332577
525	0.1901481694
526	0.1900553834
527	0.1899657098
528	0.1898802875
529	0.1898014181
530	0.1897224119
531	0.1896580033
532	0.1895992001
533	0.1895774572
534	0.1895030756
535	0.189366567
536	0.1892772972
537	0.1891886774
538	0.1891034138
539	0.1890110262
540	0.1888927143
541	0.1888285018
542	0.1888080798
543	0.1886847863
544	0.1886159396
545	0.1885348299
546	0.1884742752
547	0.1884583849
548	0.1883597543
549	0.1882795205
550	0.1882045068
551	0.1881724096
552	0.1880697943
553	0.1879887692
554	0.187924672
555	0.1878379456
556	0.1877500734
557	0.187647638
558	0.1875679946
559	0.1874978824
560	0.1874221628
561	0.1873713242
562	0.1873131393
563	0.1872274309
564	0.1871464405
565	0.1870721704
566	0.1870095958
567	0.1869302912
568	0.1868797541
569	0.18678776
570	0.1867587096
571	0.1866725413
572	0.1865832197
573	0.1865367151
574	0.1864541016
575	0.1863923472
576	0.1862851547
577	0.1861927031
578	0.1861236069
579	0.186056544
580	0.1860110674
581	0.1859910781
582	0.1859045131
583	0.1858249177
584	0.1857208445
585	0.1856239142
586	0.1855597068
587	0.1854990639
588	0.1854360182
589	0.1854076074
590	0.1853145315
591	0.1852526704
592	0.1851704371
593	0.1850846334
594	0.1850667337
595	0.1849733593
596	0.1848989596
597	0.1848296101
598	0.1847492115
599	0.1846762073
600	0.1846261232
601	0.1845509572
602	0.1845212996
603	0.1843857803
604	0.1842963509
605	0.184215012
606	0.1841829511
607	0.1841067447
608	0.1840776261
609	0.1840005003
610	0.1839164318
611	0.1838080443
612	0.1837615449
613	0.1836869173
614	0.1836722926
615	0.1835854272
616	0.1834797042
617	0.1833520103
618	0.1832859319
619	0.183227202
620	0.1831560703
621	0.1830848711
622	0.1830284709
623	0.1829807539
624	0.1829372163
625	0.1828467702
626	0.182714046
627	0.1826280305
628	0.1826103428
629	0.1825509959
630	0.1825014212
631	0.1824180272
632	0.1823644187
633	0.182306658
634	0.182253751
635	0.1821921001
636	0.1821344836
637	0.1820462555
638	0.1820174043
639	0.1819921116
640	0.181911619
641	0.18187602
642	0.1818052373
643	0.1817822592
644	0.1816898422
645	0.1816501006
646	0.1815587971
647	0.1814891743
648	0.1814202077
649	0.1813547039
650	0.1812952611
651	0.181238252
652	0.1811811734
653	0.1811149518
654	0.1810455474
655	0.1809860309
656	0.1809097953
657	0.1808949136
658	0.1807988286
659	0.1807358492
660	0.1807056579
661	0.1806537322
662	0.1805836181
663	0.1805348103
664	0.180423244
665	0.1803487108
666	0.1803232596
667	0.1802621863
668	0.1801997209
669	0.18014854
670	0.1800671825
671	0.1799954977
672	0.1799355957
673	0.1799201804
674	0.1798547723
675	0.1798240814
676	0.179747336
677	0.1796792504
678	0.1795852036
679	0.17956419
680	0.1794945616
681	0.1794455368
682	0.1793892974
683	0.1792985213
684	0.1792212513
685	0.1791450295
686	0.1791113209
687	0.1790291319
688	0.1789766819
689	0.1788535504
690	0.1787927285
691	0.1787055415
692	0.1786910216
693	0.1786246698
694	0.1785607925
695	0.1785250786
696	0.1784688449
697	0.1783583734
698	0.1782807698
699	0.1781868133
700	0.1781348185
701	0.1780503067
702	0.1780002978
703	0.1779464986
704	0.1779006919
705	0.1778076766
706	0.1777508384
707	0.1776958579
708	0.1776580612
709	0.1776060381
710	0.1775718892
711	0.1775025972
712	0.1774432934
713	0.1773934052
714	0.1773053696
715	0.17724719
716	0.1771916435
717	0.1771120608
718	0.1770880889
719	0.1770709331
720	0.1770406186
721	0.1769958505
722	0.1769228075
723	0.1768749514
724	0.1768351455
725	0.1767840641
726	0.176756538
727	0.1767053506
728	0.176664548
729	0.176608965
730	0.1765874879
731	0.176536073
732	0.1764738605
733	0.1763911385
734	0.1763781356
735	0.1763606282
736	0.1763026636
737	0.1762516732
738	0.1761995131
739	0.1761121251
740	0.1760999457
741	0.17606247
742	0.1760313726
743	0.175956763
744	0.1759043114
745	0.175854024
746	0.1757981125
747	0.1757486225
748	0.1757126529
749	0.1756910609
750	0.1756397944
751	0.1755994938
752	0.1755832228
753	0.1755075032
754	0.1754876231
755	0.1754298446
756	0.1754140286
757	0.1753638864
758	0.1752837381
759	0.1752103197
760	0.1751425734
761	0.1750771367
762	0.1750591456
763	0.1749849946
764	0.1749466483
765	0.1748964019
766	0.1748837273
767	0.1748681828
768	0.174812907
769	0.1748015822
770	0.1747414363
771	0.174659004
772	0.1745956722
773	0.1745696993
774	0.1745055966
775	0.1744438675
776	0.1743525943
777	0.1742857988
778	0.1742631228
779	0.1742065226
780	0.174158916
781	0.1741000081
782	0.1740393795
783	0.1739827657
784	0.1739709423
785	0.1739532679
786	0.1739288542
787	0.1739027885
788	0.1738915188
789	0.1738394931
790	0.1737924574
791	0.1737510493
792	0.1736962705
793	0.173637238
794	0.1735798462
795	0.173549507
796	0.1735114038
797	0.1734670631
798	0.1734138053
799	0.1733852168
800	0.1732852496
801	0.1732604481
802	0.173198406
803	0.1731278947
804	0.1730606904
805	0.1730456371
806	0.1729927226
807	0.1729521559
808	0.1728899173
809	0.172854112
810	0.1728022435
811	0.1727925445
812	0.1727827033
813	0.172717841
814	0.1726450943
815	0.1725954957
816	0.172548308
817	0.1725387139
818	0.1724885791
819	0.1724274515
